Setor;Nome;Ticker;Preço de Fechamento;Retorno Cota;DY Corrente;Liquidez Diária (MM);Desconto;Valor de Mercado (MM);Valor de Mercado/m²
CRI;DEVANT RECEBÍVEIS IMOBILIÁRIOS;DEVA11; R$ 18,35 ;-1,29%;19,62%; R$ 0,51 ;-81,29%;257,72;
CRI;FATOR VERITÀ;VRTA11; R$ 75,20 ;-0,74%;13,56%; R$ 1,57 ;-10,80%;1.172,55;
CRI;HABITAT RECEBÍVEIS PULVERIZADOS;HABT11; R$ 70,21 ;-1,29%;16,24%; R$ 1,42 ;-26,41%;570,58;
CRI;HECTARE CE;HCTR11; R$ 16,29 ;-2,51%;19,15%; R$ 0,59 ;-84,60%;359,75;
CRI;HSI ATIVOS FINANCEIROS;HSAF11; R$ 80,32 ;-0,95%;14,19%; R$ 0,74 ;-10,32%;202,92;
CRI;XP CRÉDITO IMOBILIÁRIO;XPCI11; R$ 83,59 ;-0,05%;13,35%; R$ 3,09 ;-6,09%;727,36;
CRI;ITAÚ CRÉDITO IMOBILIÁRIO IPCA;ICRI11; R$ 95,43 ;0,00%;13,83%; R$ 0,78 ;-6,77%;368,11;
CRI;KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS;KIVO11; R$ 58,40 ;-3,71%;16,44%; R$ 0,59 ;-31,68%;129,81;
CRI;KINEA CREDITAS;KCRE11; R$ 9,16 ;-1,29%;14,41%; R$ 0,37 ;-3,40%;329,76;
CRI;KINEA HIGH YIELD CRI;KNHY11; R$ 99,78 ;-0,37%;15,63%; R$ 2,42 ;0,82%;3.110,45;
CRI;KINEA ÍNDICES DE PREÇOS;KNIP11; R$ 93,15 ;1,57%;16,10%; R$ 9,94 ;-0,83%;7.459,28;
CRI;KINEA RENDIMENTOS IMOBILIÁRIOS;KNCR11; R$ 106,61 ;1,13%;12,38%; R$ 25,06 ;4,13%;11.416,82;
CRI;KINEA SECURITIES;KNSC11; R$ 9,10 ;0,11%;13,19%; R$ 5,68 ;3,50%;1.840,04;
